Описание;Неисправность
Доброго всем времени суток))) вопрос такой кто знает что это за заглушка в центре между прикуривателями?) Если снизу это под обогревы сидений центр аукс. А вот в центре сверху заглушка под что?)) Кто знает поделитесь));неисправность отсутствует
"""Ну что ж, идем дальше :) За год кое-чего изменилось, на самом деле незадолго после заказа авто я узнал, что жена ждет второго ребенка :) Поэтому взад/назад уже было ничего не изменить. При совместных поездках вчетвером стало неудобно, особенно с креслом изофикс, поэтому машина большую часть времени стоит. Последние 2 месяца наездил менее 200 км, жена ездит на Джетте, я езжу на служебном авто. Т.к. в данный момент производится ремонт в купленной осенью новостройке, то много добавлять и нечего. Поэтому буду рассматривать варианты до 4 млн из Китая и Кореи. Буквально 4-6 месяцев назад за 4 млн можно было пригнать свежего Терамонта/Талагона, а теперь фиг. За 3.5 млн можно притащить только Тигуан Л. Очень интересно сколько займет продажа своеобразной машины) Красивая, но не особо функциональная. Прошлая БМВ продалась за неделю, Октавия продалась за 3 недели, первый гольф продался за 3 месяца, второй гольф за 1.5 месяца. Быстрее всего продался ФВ Поло седан: за 20 минут после выхода объявления. Дольше всех продавался Киа Спортейдж (при том это было очень удивительно, т.к. цена была чуть-чуть выше среднего, но при этом машина в полиуретане, на гарантии и в целом в идеальнейшем состоянии), почти 6 месяцев стоял на продаже без звонков даже. Все авто у меня уходили реально с первого просмотра. Сейчас ситуация крайне интересная, но поглядим как и чего будет :) Резона продать быстро нет никакого.""";неисправность отсутствует
"""Запчасти на фото: 402176 Предыдущая запись www.drive2.ru/l/685845117910654446/ По сравнению Мишленом ранфлет — заметно мягче. Шумит не больше и не меньше. Грыж не поймал пока что, хотя поймать есть где. Точность реакций не изменилась, на самом деле тут рейка очень длинная и радиус разворота огромный, что странно, ведь привод задний. И соответственно точность реакций мягкая, так сказать. Видимо механика не отличается, и лимиты, как у полноприводного шасси по вывороту передних колес. Впечатление положительное от Корморана. Кстати, Корморан, это бюджетный Мишлен, вроде, есть прямая связь между этими брендами.""";неисправность отсутствует
"""Всех приветствую. Утром увидел пятно в районе переднего бампера с правой стороны, заглянул, и увидел под радиатором обломок пластика ( сетки в бампере сломаны были ещё при покупке ) зажат он был хорошо там, вытащив его увидел на нём надпись TOYOTA, видимо отлетела на дороге от кого то из под колёс. Сразу же заказал новый радиатор MAHLE так же заказал доп помпу, так как моя была не рабочая плюсом поменял верхний патрубок, так ка уже в месте соединения с расширительным бачком было съедено посадочное место""";система охлаждения
"""Процесс шёл. Примерно за недели 3 было сделано почти все . Дефектовка прошла по электрике . Тут без осуждения, каждый собирает так как хочет и так как видит.Но иной раз задавались вопросом, что видимо было жалко выкинуть провода . Было принято решение, что почти 70 % проводов будет убрано. В моей картине мира провода должны быть максимально не заметно спрятаны и расположены по машине и не важно как было до, главное как будет после !) Поэтому мною было найдено жабо под капотного пространства в котором в последствии спрятались почти все провода которые раньше торчали непонятным Ктулху ) Спасибо терпению моего друга AlexPereboy, что помогает в реализации всех хотелок) Далее по инженерии тоже убраны были сопли и в целом машина встала на ход. Правда были очевидные проблемы с тормозами …а именно они то были то нет. Решить проблему смогли при помощи замены цилиндра гтц…старый пропускал воздух. Далее что бы пройти регистрацию в гибдд натянули бампера. И поехал проходить осмотр. И когда казалось бы, что все самое тяжкое прошло …но нет. Как говорит AlexPereboy : """"интимные подробности владения старыми машинами"""". Случилось следующее при прохождении сверки, юному сотруднику показалось …да да именно показалось, что номер вварен. И видимо он решил, что это именно тот ШАНС! найти машину которую угнали 100500 лет назад где то в ГДР! И уля лял что началось… Вызвали наряд. Машину на штрафку. Меня в отдел. На опрос . Он занял 6 часов. Видимо хотели выяснить помню ли я как выглядит самый первый хозяин данного авто . Прошло еще 4 месяца и экспертиза прежде чем я вернулся в МРЭУ. Какие же были рожи у этих юнцов что отправили как они думали данного коня в утиль! Хера лысого, пройдя осмотр кинув сцепу и почти заглохнув внутри бокса, я выскочил на нем на парковку и пошел забирать номер ! Все теперь Буцык в законе ! те самые 70%. Тут уже вернулся в родные пенаты . Спустя 4 месяца заточения )""";неисправность отсутствует
"""Дорогие одноклубники или одноклубнички 😁 В общем и целом, долго думал, не спал ночами, но решил выставить на продажу своего верного коня 😒 Срок и время продажи до конца января, край до середины февраля. Далее оставлю себе и буду дальше Причина проста — срочно нужны деньги, в большом количестве. Брать кредиты под 30% не хочется. Поэтому приходится чем-то жертвовать. Если кому интересно — буду рад отдать в хорошие и заботливые руки, машина действительно достойная и живая. А не то, что купил Слава из АП))) Моя машина не идеальна, но своих денег однозначно стоит! Ценник не от балды, а от нужды. Торг имеется, но адекватный. В общем, цените своих коней и берегите. Но иногда жизнь выдает нам """"подарки"""", приходится адаптироваться и быстро. Кому интересно, ссылка тут""";неисправность отсутствует
"""Мужики, дайте совет, не знаю куда копать уже М50б25 бош, на горячую плавает холостой ход, виснет на 1.5к, иногда плавает до этого диапазона, на холодную просто подвисает иногда И самое непонятное, когда глушишь, стартер в холостую крутит и раза с 7 заводится Датчик колена менял два штуки, сейчас на волговском тоже самое Клапан холостого менял и чистил, но вроде как по корпусу стукнешь, заводится (может просто совпадение) Реле другие возле ЭБУ подкидывал, дроссель чистый, сам датчик на него менял, эффекта ноль До диагностики не могу доехать, не получается подловить момент""";система зажигания
"""Собственно говорить тут не много. Думаю что людей таких как я много, кому привычно иметь 2 комплекта колес (диски+резина). По этому пути я и пошел . На зиму были куплены легкие r16 32 стиля из Японии параметры : j6 +45 Так как на лето хотелось уже купить, что то гораздо интереснее стал искать …выбор был между размерами r16 и r17. Не могу точно быть уверенным, может я и ударился где головой но решил я остановиться на размере R16. И тут моя фантазия завела в кучу древней немецкой литературы, старых плакатов и статей . И нашел таки что понравилось диски CENTRA . Довольно не простая паутинка, чем то похожи на BBS, но не они . Порыскав в сети нашел объявление на Авито. Прислали фото, был не полный комплект по центральным крышкам.(тогда еще подумал, что это будет увлекательный квест по поиску центров от дисков из 80х). Диски оплатил . Пришли быстро. В нашем городе есть профильные ребята которые занимаются как раз таки поднятием с колен и преданию 2ой жизни дискам . Отдал их и стал ждать. Работы сделано много: правка /пескоструй /покраска /алмазная проточка/полировка Итог, дисками доволен был как слон )! Но! откатав сезон понял, что хочу все таки на r17 и 3х составные, что бы можно было поиграться с размерами вылета и полкой . Поэтому предлагаю к покупке диски Centra R16 болты 5*120 центра 74 ширина 8 вылет +18 Цена без резины 70 000 к есть резина отдам за 15 000к параметры резины 205/45 Такими мне их отправили ) пролежали они долгое время в гараже, так и не дошли руки у прошлого хозяина) А это результат финальный !""";неисправность отсутствует
"""Короче говоря, надоело мне, что мои собранные плейлисты за годы """"владения"""" Яндекс музыкой постоянно стали пропадать. Причем в существенных количествах. Каждый месяц это по 10-50 песен в зависимости от плейлиста. Уверен, пользователи данного сервиса тоже заметили такое. Связано это лишь с одним — истечение прав на композиции. Компания Sony Music Group окончательно ушла из России 🇷🇺 с сентября 2022 года. И вот большинство зарубежных плейлистов начали сыпаться. На сегодняшний день массово. А многие альбомные записи Яндекс стал подменять на Live версии. Это тупо, странно и ладно. Они сделали все, чтобы удержать пользователей, молодцы. Но… не все так гладко. На дворе 2025 год, мои плейлисты продолжают беднеть. Ну и недолго думая, но долго поискав, было найдено решение — переезд на другую платформу. Какую? Spotify — Ушел Google музыка — Не могу сказать, не пробовал. Яндекс — нет, спасибо YouTube Music — тоже не то Звук — вроде как отечественный, много рекламируют сейчас, тоже ХЗ Tidal, Deezer и другие малоизвестные стриминговые сервисы тоже не хочется. Остается Apple Music. Если брать в расчет то, что я предпочитаю ноутбуки и моноблоки от компании Apple, потому что они реально очень удобные программно, удобные снаружи, быстрые и обновляемые на бесплатной операционной системе. Но переходить с голой 🍑 тоже не хочется. Там все-таки коллекция! Миграция — процесс не сложный, я пользовался сервисом TuneMyMusic. Он бесплатный до 500 треков. Но у меня же тысячи. А тут все просто — делаем импорт из текстового файла на 1000 треков, например. Берем файл, заливаем 500 треков бесплатно. Далее чистим куки файлы и заливаем вторые 500 треков. Все работает отлично! Не нашлось около 20 треков, не велика потеря, в сравнении с Яндексом. Остальное все отлично. 👌 А вот теперь самое интересное. Замечательная компания Яндекс всячески препятствует миграции пользователей. Сделать экспорт плейлиста невозможно из приложения, с сайта с помощью стороннего плагина, через специальные сервисы, потому что Яндекс тупо не дает доступ. Вот такие они нехорошие поступки делают. Какой выход? На Гитхабе есть программа, с помощью которой быстро и просто делается данный экспорт в текстовый документ. Все элементарно и без потерь. Если кому нужна инструкция — опубликую по надобности. От Яндекса решил уйти совсем после таких крокодильих поступков. Сейчас блокируют и растягивают удаление банковского счета))) Ну да ладно, подождём) 😁 ‼️ Да и самое главное — это качество потока. В Яндексе их 3. При этом они просто называются Превосходное, отличное и еще какое-то 💩. В Apple Music можно выбрать 4 качества потока. И самое лучшее действительно звучит 🔥 Совсем по-другому. Я не меломан, но разницу заметил сильную. Пропал """"пердеж"""" на басах, звук ровный, эквалайзер в том же режиме работает. Я стал лучше слышать тексты и басы стали ровнее, без раздражения. Короче говоря, сплошные плюсы. Данный пост не рекламный, а скорее антирекламный. Но это лично мое субъективное мнение. И я не пытаюсь никого тут оскорбить или унизить. Я лишь говорю о своем опыте пользования данным сервисом. Ранее я им пользовался более 3 лет и мне нравилось, правда! Но сейчас похоже Яндекс уже расслабил булки, так как он монополист практически во всем. ФАС бы не помешало раскрыть глаза. 👀 Да и еще Яблочная подписка гораздо дешевле, хоть и является международной и там не пропадает музыка, по крайней мере пока.""";неисправность отсутствует
"""На фоне унылой отечественной действительности Сообществу единичководов привет :) Я уже смешарик во владении не новыми BMW, поэтому когда встал вопрос покупки машины для города, чтобы жене не было страшно тоже на ней ездить-ответ был очевиден. Конечно же М2! Но кошелек поставил на свое место и начался поиск двухлитровых копеек в Сибири. Трёхдверный либо купе, пятидверку не хотелось. Месяц мониторинга объявлений и попался этот экземпляр. Вы бы видели сколько колхозников с тюненхом, умотанных вёдер, мамкиных стритсракеров ездит. Для меня четкий маркер машины, которую я даже не поеду смотреть-застегнутый за спиной водителя ремень, то есть человек мало того что настолько тупой, что не пристёгивается, так ещё и невероятно тупой чтобы хотя бы поставить заглушку в слот ремня. Плюс, сами ремни и сиденья в таких машинах испохаблены. Ну да ладно. Хорошо, что существуют адекватные водители и владельцы. Полный сток, в неплохом состоянии, без сильных ДТП (покоцаный задний бампер не в счёт, это мелочь). Из недочётов к устранению 1. Починить КВКГ (вечная болячка N46) 2. Потеет задний правый сальник привода 3. Сход-развал. 4. Иногда моросит ABS-смотрим датчики, кольца, проводку, плюсовой провод. Для машины возрастом почти в соаершеннолетие-это прям отличное состояние узлов и агрегатов, за что спасибо прошлым владельцам. Сама машинка очень понравилась, она не такая ураганно быстрая как мой Х6, в ней конечно меньше разных удобств (даже подстаканников нет), но она мелкая, юркая, очень понятная и, на удивление, даёт очень позитивные эмоции. Из доработок, хочется разве что убогий пластмассовый руль поменять на кожаный (рассматриваю варианты кстати). Посмотрим как пойдет дальше.""";кривошипно-шатунный механизм
"""Всем привет! Потихоньку восстанавливаю пластик по салону, на водительской дверной карте была сломана сетка динамика. Как донор ради сетки была куплена целая дверная карта. Донор Сама сетка выпаивается и впаивается с помощью паяльника. Фиксаторы сетки Процесс замены Результат""";неисправность отсутствует
"""Хай! С самого начала моих «отношений» с бывалой Марго, было понятно что девочка уже не девочка)) нижняя часть водительской сидухи уже была со следами прошлых наездников)) сначала это были просто трещины на сенсатеке, ну и я уже 50к насидел, итого пробег 170+ и нижняя часть седла выглядит мягко говоря ужасно… Ну думаю пора девочке обновить «мягкое место», вообще сенсатек как таковой меня не устраивает и хочется что-нибудь покачественней, было 2 варианта, менять салон или перешивать его, еще видел что некоторые перешивают именно кусок который облезает. Стал мониторить все подряд и наткнулся на продажу именно моего поджопника отдельно, за вменяемые 20к в идеальном состоянии… А поскольку на замену салона или перешив я пока так и не созрел, решил что это будет самый оптимальный вариант! Ну и заказал, сегодня поджопник приехал, а я рад))) начистил и оставил до чистоты и тепла, сейчас возиться с заменой не хочу)""";неисправность отсутствует
Собственно, вопрос в заголовке) с большой в принципе все понятно, с маленькими не очень;неисправность отсутствует
"""Часть работы зафиксировал для истории)))В основном всё снималось, мылось и смазывалось.(17.05.24) Частая проблема, слизанные шестерни. Смазывалось всё силиконом. Дальше в основном будут фото с комментариями. Можно было не снимать, но на тот момент показалось не плохой идеей. Из четырёх ограничителей, только один в нормальном состоянии.(который я при случаи купил) Разбираются они без проблем. Основная проблема, ломающиеся каркасы и грязь. Каркас (не без труда) получилось склеить. Хорошая подготовка и струбцины делают своё дело. Чуть не забыл про резинки. Резинки под накладками рассыпались в труху. AliExpress выручает. Качество приемлемое. На одной накладке, пришлось восстанавливать фиксирующий зуб. К замкам нареканий не было.""";неисправность отсутствует
"""Друзья, привет! У меня не стабильно работает запирание с ручки двери. Примерно, каждый 5 раз не работает. Как ни нажимаю и не провожу по сенсору. У кого-то еще есть такая проблема? Как с ней бороться?""";электрооборудование
Подскажите что за вторая фишка? У меня такая только на одном сидении и она идет к какому-то дополнительному мату обогрева видимо? Еще вопрос по аптечке, она должна быть в водительском сидении или пассажирском? У меня в пассажирском отсек для нее.;неисправность отсутствует
Перед НГ сидел думал и листал фотки сараев, приглянулись мне зеркала от М5, поискал в России и кроме цен за 100+ ничего не увидел, тогда обратился к помощи ближним государствам и нашли что нужно мне, цена ниже 100 с учётом доставки, ехали долго и поэтому не положил под ёлку, а почему для неизвестного приколюха, так потому что сарай сегодня уезжает в Питер, машина продана и начинается поиск обычного тура, с которого можно сделать то что хочу, хоть и поисками это не назвать, потому что тачка найдена быстро, вот только мне уехать надо на пару месяцев по делам и поэтому с человеком всё отложили на потом, ну а как заберу, так и будет новый Б.Ж., всем удачи и ровных дорог !;неисправность отсутствует
Так как выгорели линзы свет стал не какой, купил bi led линзы 3 дюйма, стекла сразу с хром треугольниками так как мои все были потрепаные жизнью, фары оказались на стекольном герметике и кто-то туда уже лазил, было куплена жидкость для снятия лака с ногтей, бутиловый герметик, новые коретки, сразу грел края строительным феном для того чтоб пластмасса была помягче, потом ножом подрезал и через шприц подавал жидкость, сняв стекла понял что маски тоже говн…слез хром, поиск масок занял 2 недели, все собрал, разница есть хоть и не потовые линзы, подключил только ближний, дальнего как по мне так уже и не нужно);электрооборудование
"""Запчасти на фото: 83192163667 Для #m3csl из Германии пришли: новые шильды CSL в решетки передних крыльев, механизм дверной ручки правой, сама ручка двери салона правая, полностью весь механизм стеклоподъемника с мотором, поворотники передние оба, бардачок левый в сборе. Запчасти на фото: 51169150380 Запчасти на фото: 51358229106 Запчасти на фото: 51717161687""";неисправность отсутствует
"""В первые месяцы после покупки также требовалось сделать сход-развал, ибо руль стоял криво всю дорогу) Ладно хоть убитый Лысьен Шпрот 4 было не жалко (данлоп спорт 16 года с остатком протектора 0.5 мм от предыдущего хоза, на котором машина валила боком по мокрому летом))). Так как собирать-разбирать мне очень интересно, а руки растут где-то между 5ой точкой и плечами решил смазать развальные болты чтобы не возникло нюансов при выставлении угла колес в сервисе. Процедура простая, единственное подметил что болты и гайки лучше будет поменять в следующий раз (все еще не созрел за 1.5 года). Гоночные слики от предыдущего владельца (причем это самая лучшая из 4ех), вопрос летней резины будет решен апреле 24 года) На развале нюансов не возникло, правда руль все равно остался немного кривым после процедуры. Мастер-приемщик сказал что такие случаи бывают, мол углы в правильном диапазоне, а руль кривит, возвращайтесь переделаем. Теперь буду иметь в виду что на такую процедуру лучше отводить 1.5-2 часа времени, ибо после сервиса сразу полетел по намеченным делам и сказал что вернусь позже)) (Спойлер: вернулся через год после замены рулевых тяг на очередной развал). Стоимость была 1500 рэ Далее после покупки меня также ждал вялый ручник, который стоял в сервисном положении. При покупке мне заявили что это фигня, на автомате вообще ручник не нужен)))) Тем не менее я скинул диско-барабаны, понял что задних дисков мало, задних колодок почти нет, задних колодок ручника нет совсем+расслоились, видимо еще родные))))) Ладно, собрал все обратно и заказал все кроме дисков, оставил на десерт. Самое интересное: по наблюдению за 1450 км трассы машинка съела около 1 литра масла, что меня расстроило. Когда я катался на ниссане по трассе держал обороты 3000 и залитый тогда досанкционный лукойл ЖП 5в-30 буквально испарялся из мотора (из заливной и щупа сизый дымочек), чему я был удивлен)) Но с бмв дыма не было ни с трубы, ни с мотора. В сервисе при замене ГРМ также сделали раскоксовку жидким лавром, что на мой взгляд сыграло небольшую роль, но небольшой расход остался. Масло лукойл генезис армотек 5в40. Начал гуглить как люди борются с масложором на м54, нашел на форумах е46 o2pilot mode и решил попробовать у себя на моторе. Перед этим изучил записи других людей)) """"научного"""" подтверждения как это работает нет, но у разных людей на разных машинах (39, 46, 53, 60 кузова) это работало, значит высока вероятность что и у меня должно сработать))";система смазки
" Устройство вакуумной системы м54, розовая линия с насечками это шланг прокладку которого подразумевает o2pilot mode Требовалось скинуть впускную гофру (которая у меня в отличном состоянии, оригинал 2019 года, чему я был рад), для удобства убрать распорку, убрать корыто с салонным фильтром, открутить винты и убрать в сторону распред коробку проводов. Далее полчаса тренировки ненормативной лексики, снимания заглушки со штуцера квкг и попытки насадить туда шланг. Затем снять заглушку сзади коллектора, измазать руку в вековой саже, потереть нос этой же рукой и насадить на штуцер за впускным коллектором шланг. Собрать все обратно. Каких-то 2 часа жизни и у меня все получилось, дальше оставалось только тестировать) Спустя 1.5 года наблюдения таковы: до замены 5000 км не подливал, но уровень упал ниже середины. После очередной замены масла я проехал около 3 тысяч км и долил примерно 500 грамм — жор вернулся походу)) На этом масле ездить еще около 2-3 тысяч км, уровень пока стоит. Рассуждая глобально, долить 1 литр на 5-6 тысяч км в мотор где заправочный объем 6-8 литров это мелочь, плюс у каждого агрегата есть ресурс, а конский пробег этому ресурсу не способствует. На данном промежутке мой вывод таков: вещь скорее рабочая, но если маслосъемные мертвы то никакое чудо масло или промывка их не вернет к жизни)) К проблеме масложора надо подходить комплексно, я начал с раскоксовки и вышеописанного. Пока что я скорее доволен чем нет, демонтировать этот """"костылек"""" не планирую и удалять квкг тоже. Наблюдения ведутся дальше) Приложу фотку из интернета по устройству вакуумной системы м54, розовая линия с насечками это шланг прокладку которого подразумевает o2pilot mode. Из мелочевки еще бесил потеющий оригинальный бачок гура, у кого-то на драйве увидел размеры O-ring для крышки бачка, и когда брал шланг вдовесок купил колечко, бачок потеть перестал)""";система смазки
"""Вчера очень удачно купил у себя в городе 2 трцубы и 2 90• поворота для выхлопа 63мм Еще в придачу отдали 2 крепления ) На AJS заказал Радиатор от S13 50мм Спорт подушки двигателя И Х-Pipe для выхлопа""";неисправность отсутствует
"""Еще при покупке X5го было желание покрасить диски в светлый цвет. И вот наконец, выбрал время для этой процедуры. Единственное о чем жалею, что не сделал этого раньше! Единственное о чем жалею, что не сделал этого раньше! Очень нравится результат! Машина посвежела очень! Не могу налюбоваться) Осталось закрыть вопрос по заглушкам ЦО и болтов, но они уже в пути! Так было до покраски Все заглушки на месте. Почти) Все заглушки на месте. Почти)""";неисправность отсутствует
"""Мне очень нравится моя БМВ, но иногда она так бесит. Мне дочь говорит ( 5 лет) — БМВ чуть чуть плохая, потому что нужно часто ездить в сервис. Вот сегодня чек, который появился пару дней назад — погас, в сервис съездить не успел. Мне тут рекомендовали купить сканер ошибок! Подумываю. А какой самы лучший, какой оптимальный цена /качество?""";неисправность отсутствует
"""Привет всем! За долгие годы отсутствия в БЖ своей машины, с ней произошла куча всего интересного. Мало того, что она до сих пор со мной, так уже дело дошло и до MGU. Все бы было прекрасно, если бы не одно НО. После появления штатной навигации в машине, CarPlay стал вести себя зачастую отвратительно. Начинает показывать твое гео метрах в 500-1000 от реального местоположения, как только выезжаешь за пределы любого спального района Москвы. Можно было бы приплести это дело к глушилкам в городе, но суть проблемы куда интереснее. Когда телефон работает в режиме CarPlay — гео теряется и сходит с ума. Только отключаешь телефон — все приходит в норму. Штатная навигашка при этом всем чувствует себя прекрасно. Почитав несколько постов у местных ваговодов со схожей проблемой, было установлено следующее: сбои происходят вследствие того, что телефон берет GPS сигнал через антенну машины, а не через себя Грубо говоря получаем то, что машина дает приоритет себе в работе GPS, а телефону отдает остатки, от чего сигнал слабый и ему порой тупо тяжело бороться с глушилками и иными природными аномалиями. Так вот вопрос: у вагов решается кодировками. Есть ли решение этой проблемы для бмв? Возможно кто-то проходил уже это. Либо так же мучается. Инфы не нашел вообще, давайте поразмышляем что с этим можно сделать?""";электрооборудование
